epochs,batch_size,hidden_layers,activation,learning_rate,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
25,64,"[32, 16]",relu,0.001,0.893016517162323,0.8626102750389206,0.9255289532293987,0.892962664517862,0.92560661892512,0.862743827360508,0.8930703696250084
25,32,"[32, 16]",relu,0.0001,0.8928822875022888,0.862574617181417,0.925250556792873,0.8928139691067831,0.9253492736498228,0.862743827360508,0.8929505667717486
10,32,"[32, 16]",relu,0.001,0.8923118114471436,0.8627999219715196,0.923510579064588,0.8921235754866037,0.9237864077669903,0.8632622642732163,0.8924994137549831
50,32,"[64, 32]",relu,0.0001,0.8914393186569214,0.8635621448631703,0.920239420935412,0.8910003706324338,0.9209000552181116,0.8646231611690752,0.891874728433437
50,64,"[32, 16]",relu,0.0001,0.8899962902069092,0.8633682830930537,0.9169682628062361,0.8893614148778183,0.9179448380218722,0.8648823796254294,0.8906239572906239
5,32,"[64, 32]",relu,0.0001,0.8899627327919006,0.863359328920637,0.9168986636971047,0.8893239274985655,0.9178817056396149,0.8648823796254294,0.8905942410997297
25,64,"[32, 16]",relu,0.0001,0.8899291753768921,0.8633503735745183,0.9168290645879733,0.8892864375886046,0.9178185819407193,0.8648823796254294,0.8905645268917657
10,64,"[64, 32]",relu,0.0001,0.8896942734718323,0.8635260153533233,0.9159938752783965,0.8889864568205613,0.917090259651051,0.8652064026958719,0.8903931441528561
10,32,"[16, 8]",relu,0.0001,0.8892244696617126,0.8634960257505091,0.9148802895322939,0.8884458112263864,0.9160949506037321,0.865336011924049,0.8899923351218049
50,64,"[16, 8]",relu,0.0001,0.8888888955116272,0.863597500822098,0.9139059020044543,0.8880397660027728,0.9152391393723448,0.8655952303804031,0.8897252289758535
50,32,"[16, 8]",relu,0.0001,0.8867411613464355,0.8641754455707944,0.9077811804008908,0.8854417704762229,0.9099007207942337,0.8671505411185276,0.8880114145402661
2,64,"[32, 16]",relu,0.001,0.8845598697662354,0.8639754862776445,0.9027004454342984,0.8829135466303608,0.9054574964495841,0.8676689780312358,0.8861605665497385
10,32,"[16, 8]",relu,0.001,0.8841907382011414,0.8644588368832209,0.9010996659242761,0.8823990458340433,0.9041289974362434,0.8684466334002982,0.8859286682312498
2,32,"[64, 32]",relu,0.001,0.8830497860908508,0.8648829879970495,0.8976893095768375,0.8809808408182781,0.9012494961708988,0.8694187026116259,0.8850479928752845
10,64,"[16, 8]",relu,0.001,0.8790563344955444,0.8657740927008292,0.8866230512249443,0.876074547830273,0.8920119323831621,0.8720108871751668,0.881898020710447
5,32,"[32, 16]",relu,0.001,0.8785865306854248,0.8665939162460783,0.884326280623608,0.8753703065794006,0.8902028142960957,0.8732421748428488,0.8816409316932741
5,64,"[32, 16]",relu,0.001,0.8784523010253906,0.8658586408824731,0.8850222717149221,0.8753355820196875,0.8906901343214451,0.8723349102456095,0.8814169722367732
2,64,"[64, 32]",relu,0.0001,0.7099902629852295,0.6244241634072143,1.0,0.7687944780352078,1.0,0.43995852504698335,0.6110711071107111
2,64,"[16, 8]",relu,0.0001,0.684452474117279,0.6044339741702074,1.0,0.7534544691785312,1.0,0.39064221372561725,0.5618155552448856
5,64,"[16, 8]",relu,0.0001,0.5940132141113281,0.5428852112143883,1.0,0.7037272860851251,1.0,0.2159937787570475,0.3552547431251332
2,64,"[32, 16]",relu,0.0001,0.5824692249298096,0.5359194330473703,1.0,0.6978483656321337,1.0,0.19370099151059555,0.3245385450597177
2,32,"[16, 8]",relu,0.0001,0.48216381669044495,0.4821638310010403,1.0,0.6506215047433604,0.0,0.0,0.0
